Cycle No.,Cyctype,Date,Site,Location,Group,Plot,New tags ,Dead tags,Species,Tagstatus,,October dead cycle,,,,,,,,
1,N,17-Oct-15,S4,L2,G2,6,1,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G2,7,1,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G2,7,2,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G3,1,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G3,2,0,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G3,5,1,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G3,6,1,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G3,6,2,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G3,6,3,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G3,6,4,NA,,T,,,,,,,,,,
1,N,17-Oct-15,S4,L2,G3,7,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G1,1,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G1,2,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G1,5,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G1,6,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G1,7,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G2,1,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G2,2,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G2,2,2,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G2,2,3,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G2,5,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G2,5,2,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G2,6,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G2,7,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G3,1,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G3,2,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G3,5,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G3,5,2,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G3,6,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G3,6,2,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G3,6,3,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L1,G3,7,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G1,1,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G1,2,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G1,5,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G1,6,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G1,7,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G2,1,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G2,2,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G2,5,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G2,6,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G2,7,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G3,1,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G3,2,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G3,5,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G3,5,2,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G3,5,3,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G3,5,4,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G3,5,5,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G3,6,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G3,7,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L2,G3,7,2,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G1,1,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G1,2,2,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G1,5,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G1,6,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G1,7,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G2,1,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G2,2,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G2,5,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G2,6,1,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G2,7,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G3,1,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G3,2,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G3,5,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G3,6,0,NA,,T,,,,,,,,,,
1,N,18-Oct-15,S5,L3,G3,7,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G1,1,1,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G1,1,2,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G1,2,1,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G1,2,2,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G1,5,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G1,6,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G1,7,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G2,1,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G2,2,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G2,5,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G2,6,1,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G2,7,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G3,1,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G3,2,1,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G3,5,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G3,6,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S16,L1,G3,7,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G1,1,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G1,2,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G1,5,1,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G1,6,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G1,7,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G2,1,1,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G2,1,2,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G2,1,3,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G2,2,1,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G2,5,1,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G2,6,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G2,7,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G3,1,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G3,2,1,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G3,5,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G3,6,0,NA,,T,,,,,,,,,,
1,N,20-Oct-15,S2,L1,G3,7,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,1,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,1,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,2,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,5,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,5,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,5,3,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,6,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,6,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,6,3,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,6,4,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,7,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,7,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,7,3,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,7,4,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,7,5,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G1,7,6,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G2,1,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G2,2,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G2,2,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G2,2,3,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G2,5,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G2,6,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G2,7,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,1,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,1,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,1,3,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,2,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,5,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,5,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,6,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,6,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,6,3,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,6,4,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,7,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,7,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,7,3,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L1,G3,7,4,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G1,1,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G1,2,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G1,5,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G1,6,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G1,7,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G2,1,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G2,2,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G2,5,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G2,6,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G2,7,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,1,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,2,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,2,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,2,3,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,2,4,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,2,5,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,2,6,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,2,7,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,2,8,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,2,9,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,2,10,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,5,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,6,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,6,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,7,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,7,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,7,3,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L2,G3,7,4,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G1,1,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G1,2,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G1,5,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G1,6,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G1,6,2,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G1,7,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G2,1,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G2,2,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G2,5,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G2,6,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G2,7,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G3,1,1,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G3,2,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G3,5,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G3,6,0,NA,,T,,,,,,,,,,
1,N,21-Oct-15,S1,L3,G3,7,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G1,1,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G1,2,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G1,5,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G1,6,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G1,7,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G2,1,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G2,2,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G2,5,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G2,6,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G2,7,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G3,1,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G3,2,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G3,5,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G3,5,2,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G3,5,3,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G3,6,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L1,G3,7,2,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G1,1,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G1,2,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G1,5,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G1,6,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G1,7,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G1,7,2,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G1,7,3,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G2,1,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G2,1,2,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G2,1,3,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G2,1,4,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G2,2,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G2,5,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G2,6,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G2,7,0,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,1,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,2,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,5,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,5,2,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,5,3,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,5,4,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,6,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,6,2,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,6,3,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,6,4,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,6,5,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,6,6,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,7,1,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,7,2,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,7,3,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,7,4,NA,,T,,,,,,,,,,
1,N,23-Oct-15,S11,L2,G3,7,5,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G1,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G1,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G1,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G1,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G1,7,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G2,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G2,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G2,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G2,6,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G2,6,2,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G2,7,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G3,1,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G3,2,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G3,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G3,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L1,G3,7,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G1,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G1,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G1,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G1,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G1,7,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G2,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G2,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G2,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G2,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G2,7,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G3,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G3,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G3,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G3,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S12,L2,G3,7,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G1,1,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G1,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G1,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G1,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G1,7,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G2,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G2,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G2,5,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G2,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G2,7,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G3,1,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G3,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G3,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G3,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S14,L1,G3,7,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G1,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G1,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G1,5,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G1,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G1,7,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G2,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G2,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G2,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G2,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G2,7,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G3,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G3,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G3,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G3,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G3,7,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S6,L1,G3,7,2,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G1,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G1,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G1,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G1,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G1,7,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G1,7,2,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G2,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G2,2,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G2,2,2,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G2,2,3,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G2,5,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G2,6,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G2,7,1,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G3,1,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G3,2,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G3,5,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G3,6,0,NA,,T,,,,,,,,,,
1,N,24-Oct-15,S8,L1,G3,7,0,NA,,T,,,,,,,,,,
1,N,25-Oct-15,S3,L1,G1,1,0,NA,,T,,,,,,,,,,
1,N,25-Oct-15,S3,L1,G1,2,0,NA,,T,,,,,,,,,,
